delta_theta_quarter,R2_0.6666666666666666,R2_0.5,R2_0.25,R2_0.99,R2_0.75,R2_0.3333333333333333,R2_0.01,R2_1,R2_0.999,R2_0.001,R2_0.9
1.1206482812404472,25.613759058946165,19.450242381289502,9.83539695260717,36.75595486509287,28.595974167492848,13.07696893153019,0.3947820437794809,118739134254.33792,37.06473191352473,0.0394784154721912,33.773391717991245
1.1237961696708978,25.60618756102703,19.446518276902168,9.834855475437902,36.73898805656554,28.586117424767487,13.075734653857488,0.3947820073600896,118644124448.37404,37.04749090126847,0.0394784154357689,33.75912163000208
1.1269440581013486,25.59867133438331,19.442818697151008,9.834316983917944,36.72216022405654,28.57633558557448,13.074507580326877,0.3947819711244683,118549682126.84584,37.03039141842621,0.0394784153995305,33.74496591193576
1.1300919465317991,25.59121034037714,19.439143683405803,9.833781495279094,36.70547090101617,28.5666285276908,13.073287743103055,0.3947819350740525,118455802590.82571,37.0134329829478,0.0394784153634772,33.7309242365748
1.13323983496225,25.583804540371464,19.43549327646957,9.833249026631936,36.6889196259748,28.556996129768883,13.072075174077842,0.3947818992102709,118362481193.75818,36.99661511806108,0.0394784153276105,33.71699628002671
1.1363877233927009,25.57645389573813,19.4318675165851,9.832719594965752,36.67250594249624,28.54743827133786,13.070869904870976,0.3947818635345446,118269713340.73502,36.97993735222277,0.0394784152919319,33.7031817216986
1.1395356118231514,25.569158367865715,19.4282664434414,9.832193217148433,36.65622939913171,28.537954832804807,13.06967196683092,0.394781828048287,118177494487.78218,36.963399219070055,0.0394784152564427,33.68948024427217
1.142683500253602,25.561917918167342,19.424690096180093,9.831669909926369,36.64008954937458,28.52854569545593,13.06848139103569,0.3947817927529044,118085820141.15862,36.94700025737294,0.0394784152211444,33.67589153367897
1.1458313886840528,25.55473250808825,19.421138513401736,9.8311496899244,36.624085951615726,28.519210741457567,13.067298208293664,0.3947817576497953,117994685856.66672,36.930740010987286,0.0394784151860384,33.662415279075994
1.1489792771145035,25.54760209911324,19.417611733172063,9.830632573645714,36.60821816909961,28.50994985385729,13.066122449144382,0.3947817227403504,117904087238.97406,36.91461802880856,0.039478415151126,33.64905117282164
1.152127165544954,25.54052665277404,19.41410979302817,9.830118577471772,36.59248576988093,28.500762916584723,13.064954143859376,0.3947816880259534,117814019940.94604,36.89863386472626,0.0394784151164086,33.63579891045193
1.1552750539754049,25.533506130656423,19.41063272998465,9.829607717662237,36.57688832678198,28.49164981445253,13.063793322442963,0.3947816535079795,117724479662.98984,36.88278707757918,0.0394784150818877,33.622658190657134
1.1584229424058554,25.52654049440733,19.407180580539595,9.829100010354905,36.56142541735066,28.482610433157102,13.062640014633098,0.3947816191877965,117635462152.40884,36.867077231110976,0.0394784150475645,33.60962871525855
1.1615708308363062,25.51962970574172,19.4037533806806,9.828595471565638,36.54609662381899,28.473644659279376,13.061494249902116,0.3947815850667642,117546963202.76727,36.85150389392686,0.0394784150134405,33.59671018918574
1.164718719266757,25.5127737264494,19.400351165890683,9.828094117188291,36.53090153306242,28.464752380285432,13.060356057457613,0.3947815511462346,117458978653.26596,36.83606663945056,0.039478414979517,33.58390232045402
1.1678666076972075,25.505972518401627,19.396973971154114,9.827595962994677,36.51583973655959,28.45593348452716,13.059225466243207,0.394781517427552,117371504388.12726,36.82076504588216,0.0394784149457953,33.571204820142164
1.1710144961276585,25.4992260435577,19.393621830962203,9.82710102463446,36.50091083035275,28.447187861242785,13.058102504939384,0.3947814839120521,117284536335.99054,36.80559869615642,0.0394784149122768,33.55861740237058
1.174162384558109,25.49253426397135,19.390294779319014,9.82660931763516,36.48611441500882,28.438515400557385,13.056987201964276,0.394781450601063,117198070469.31702,36.790567177901856,0.0394784148789628,33.54613978427958
1.1773102729885596,25.48589714179696,19.386992849747013,9.82612085740205,36.471450095580906,28.429915993483306,13.05587958547448,0.3947814174959047,117112102803.8045,36.775670083400335,0.0394784148458546,33.5337716860081
1.1804581614190104,25.47931463929585,19.383716075292654,9.82563565921814,36.45691748157047,28.421389531920568,13.054779683365863,0.3947813845978888,117026629397.8111,36.76090700954727,0.0394784148129536,33.521512830672584
1.1836060498494612,25.47278671884222,19.3804644885319,9.82515373824411,36.442516186890096,28.412935908657182,13.05368752327437,0.3947813519083189,116941646351.7884,36.74627755781248,0.039478414780261,33.50936294434622
1.1867539382799115,25.466313342929148,19.37723812157568,9.824675109518282,36.42824582982671,28.40455501736948,13.052603132576817,0.3947813194284902,116857149807.72366,36.7317813342016,0.0394784147477781,33.497321756038474
1.1899018267103625,25.459894474174384,19.37403700607529,9.824199787956566,36.41410603300541,28.396246752622304,13.051526538391684,0.3947812871596896,116773135948.59076,36.71741794921805,0.0394784147155063,33.485388997674775
1.1930497151408133,25.45353007532609,19.37086117322773,9.823727788352423,36.40009642335383,28.38801100986923,13.050457767579946,0.3947812551031957,116689600997.80975,36.703187017825606,0.0394784146834468,33.47356440407663
1.1961976035712638,25.4472201092684,19.36771065378094,9.823259125376849,36.386216632067054,28.37984768545273,13.049396846745822,0.3947812232602787,116606541218.71542,36.6890881594115,0.0394784146516008,33.461847712941896
1.1993454920017146,25.440964539026943,19.36458547803904,9.822793813578294,36.37246629457296,28.37175667660425,13.048343802237603,0.3947811916322003,116523952914.0333,36.67512099775008,0.0394784146199697,33.450238664825335
1.2024933804321651,25.43476332777427,19.361485675867485,9.822331867382694,36.35884505049821,28.36373788144427,13.047298660148437,0.3947811602202136,116441832425.36504,36.66128516096707,0.0394784145885547,33.438737003119506
